ID	BK	SR	Month	Country	Project	Samples	Lat	CoordY	CoordX	Vegetation	Diversity	Temp	Prec		
NL1567	NL08	SR02	19/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	5.23025	Artificial	High	13.69999981	46.79999924		
NL1568	NL09	SR01	07/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	4.298154	Artificial	High	13.40000057	39.29999924		
NL1569	NL09	SR02	18/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	4.298154	Artificial	High	13.40000057	39.29999924		
LT1572	LT01	SR01	07/05/2023	Lithuania	INSIGNIA-EU	Yes	54	54	24.45638889	Forest/Natural	Low	12.60000038	28.5		
LT1573	LT01	SR02	21/05/2023	Lithuania	INSIGNIA-EU	Yes	54	54	24.45638889	Forest/Natural	Low	12.60000038	28.5		
LT1574	LT02	SR01	07/05/2023	Lithuania	INSIGNIA-EU	Yes	55	55	25.44936111	Agricultural	High	12	16.39999962		
LT1575	LT02	SR02	19/05/2023	Lithuania	INSIGNIA-EU	Yes	55	55	25.44936111	Agricultural	High	12	16.39999962		
LT1576	LT03	SR01	04/05/2023	Lithuania	INSIGNIA-EU	Yes	56	56	25.89413889	Forest/Natural	High	11.90000057	15.40000057		
LT1577	LT03	SR02	21/05/2023	Lithuania	INSIGNIA-EU	Yes	56	56	25.89413889	Forest/Natural	High	11.90000057	15.40000057		
LT1578	LT04	SR01	07/05/2023	Lithuania	INSIGNIA-EU	Yes	54	54	24.3365	Agricultural	High	12.19999981	26.70000076		
LT1579	LT04	SR02	21/05/2023	Lithuania	INSIGNIA-EU	Yes	54	54	24.3365	Agricultural	High	12.19999981	26.70000076		
LT1580	LT05	SR01	07/05/2023	Lithuania	INSIGNIA-EU	Yes	55	55	26.46011111	Agricultural	Medium	12	15.69999981		
LT1581	LT05	SR02	19/05/2023	Lithuania	INSIGNIA-EU	Yes	55	55	26.46011111	Agricultural	Medium	12	15.69999981		
LT1582	LT06	SR01	04/05/2023	Lithuania	INSIGNIA-EU	Yes	55	55	23.25536111	Agricultural	Low	12.60000038	23.20000076		
LT1583	LT06	SR02	19/05/2023	Lithuania	INSIGNIA-EU	Yes	55	55	23.25536111	Agricultural	Low	12.60000038	23.20000076		
LT1584	LT07	SR01	07/05/2023	Lithuania	INSIGNIA-EU	Yes	56	56	23.80413889	Agricultural	Medium	12.40000057	16.20000076		
LT1585	LT07	SR02	21/05/2023	Lithuania	INSIGNIA-EU	Yes	56	56	23.80413889	Agricultural	Medium	12.40000057	16.20000076		
LT1586	LT08	SR01	08/05/2023	Lithuania	INSIGNIA-EU	Yes	55	55	25.27863889	Artificial	Medium	12.40000057	17.70000076		
LT1587	LT08	SR02	19/05/2023	Lithuania	INSIGNIA-EU	Yes	55	55	25.27863889	Artificial	Medium	12.40000057	17.70000076		
LT1589	LT09	SR02	21/05/2023	Lithuania	INSIGNIA-EU	Yes	55	55	23.87944444	Artificial	High	12.5	18.20000076		
